beer_name,style,brewery,city,abv,num_ratings,ba_score
IPA,American IPA,Gun Hill Brewing Company,Bronx,6.6,110,3.94
Wet Hops Experiment,American Pale Ale (APA),Blue Point Brewing Company,Patchogue,5.3,104,3.94
Veldrijden Love Saison,Belgian Saison,Other Half Brewing Co.,Brooklyn,7.8,92,3.94
I Feel The Universe,Leipzig Gose,Finback Brewery,Queens,5,91,3.94
Neon Lights,Belgian Saison,Grimm Artisanal Ales,Brooklyn,5.5,74,3.94
Green Galaxy,American IPA,Foreign Objects Beer Company,New Paltz,5.5,67,3.94
Smoked Porter,Smoke Porter,Brewery Ommegang,Cooperstown,7.6,62,3.94
Candlepower,Belgian Saison,Grimm Artisanal Ales,Brooklyn,8,58,3.94
Zingerbier,Berliner Weisse,Rushing Duck Brewing Company,Chester,4.6,50,3.94
Bees In The Trappe,Belgian Tripel,Grimm Artisanal Ales,Brooklyn,8,33,3.94
Misfit Toy,American Black Ale,Great South Bay Brewery,Bay Shore,8,30,3.94
SY1 Rye Saison,Belgian Saison,Transmitter Brewing,Brooklyn,7.2,30,3.94
"Even While They Teach, Men Learn",American IPA,Evil Twin Brewing,Brooklyn,7,27,3.94
Eight Legged Rye Pale Ale,Rye Beer,Spider Bite Beer Company,Holbrook,7,25,3.94
Horseheads Hefe,German Hefeweizen,Horseheads Brewing Inc.,Horseheads,5.6,23,3.94
BdG 1 Biere De Garde,French Bière de Garde,Transmitter Brewing,Brooklyn,7.1,22,3.94
It’s Soul Good Man,American IPA,Evil Twin Brewing,Brooklyn,7,18,3.94
No Snowflake Ever Falls In The Wrong Place,New England IPA,Evil Twin Brewing,Brooklyn,7,17,3.94
Beer #42 ESB,English Extra Special / Strong Bitter (ESB),Galaxy Brewing Company,Binghamton,6.1,17,3.94
Stoop Juice,American IPA,Third Rail Beer,New York,6.2,16,3.94
Hop Orgy,American IPA,Shmaltz Brewing Company,Clifton Park,6,15,3.94
Citra Sour Soft Serve,American Wild Ale,Gun Hill Brewing Company,Bronx,3.6,13,3.94
Hallertau Galaxica,American IPA,Mikkeller NYC,Corona,6,13,3.94
Hopcone Jones,Belgian Saison,Barrier Brewing Company,Oceanside,6,12,3.94
Summer Road Trip IPA,American IPA,Resurgence Brewing Company,Buffalo,6.5,12,3.94
Farm To Pint: Hopfengut,American Lager,Sixpoint Brewery,Brooklyn,6.1,12,3.94
Hop Cone-A-Copia Double IPA,American Imperial IPA,Naked Dove Brewing Company,Canandaigua,8.5,11,3.94
Valence,Belgian Tripel,Galaxy Brewing Company,Binghamton,9.3,10,3.94
Silent Treatment,American Imperial IPA,Gun Hill Brewing Company,Bronx,8,10,3.94
Hooligan,Irish Dry Stout,Long Ireland Beer Company,Riverhead,5.5,10,3.94
Own The Night,American IPA,Radiant Pig Craft Beers,New York,6.7,10,3.94
Crazy Daizy,Belgian Tripel,The FarmHouse Brewery,Owego,9.6,10,3.94
St. Jacobs,American Imperial Stout,Ellicottville Brewing Co.,Fredonia,9,9,3.94
Pirouette,American Wild Ale,Bacchus & The Brewery at Bacchus,New Paltz,4,8,3.94
Tasman Bay,New England IPA,Destination Unknown Beer Co.,Bay Shore,6.3,8,3.94
Juice Caboose,American IPA,Flying Bison Brewing Company,Buffalo,7.5,8,3.94
Down On the Street,American IPA,Greenpoint Beer & Ale Company,Brooklyn,7,8,3.94
Aluminum Army,New England IPA,Sloop Brewing,Elizaville,6.5,8,3.94
Moire,American Imperial IPA,Finback Brewery,Queens,6.2,7,3.94
Feathershark,New England IPA,Fifth Hammer Brewing,Queens,8.8,7,3.94
dHop13,American Imperial IPA,Equilibrium Brewery,Middletown,8,7,3.94
Aurelia,Belgian Saison,LIC Beer Project,Queens,7.5,7,3.94
Americana Blanc,American Pale Ale (APA),The North Brewery,Endicott,3.1,7,3.94
Horchata Beans,American Imperial Porter,Sixpoint Brewery,Brooklyn,13,7,3.94
Solar Angel IPA,American IPA,Water Street Brewing Co.,Binghamton,6.3,6,3.94
Casey - Passionfruit,Belgian Saison,Equilibrium Brewery,Middletown,6,6,3.94
Get Safe,Belgian Saison,Sixpoint Brewery,Brooklyn,5.5,6,3.94
Sisters Of Murphy Dry Coffee Stout,Irish Dry Stout,Three Heads Brewing,Rochester,6,5,3.94
Something Like a Phenomenon,American Barleywine,Sand City Brewing Co.,Northport,10,5,3.94
The Crypt Kicker V,Pumpkin Beer,Sand City Brewing Co.,Northport,9,5,3.94
Bleeding Heart Red Rye,Rye Beer,12 Gates Brewing Company,Williamsville,6.5,4,3.94
Coriander Berliner Weiss,Berliner Weisse,Big Slide Brewery and Public House,Lake Placid,4.8,4,3.94
The Local,American Pale Ale (APA),Catskill Brewery,Livingston Manor,6.4,4,3.94
German Stein,California Common / Steam Beer,Ellicottville Brewing Co.,Ellicottville,?,4,3.94
Divided Sky w/Brett,American IPA,Gun Hill Brewing Company,Bronx,7,4,3.94
An Intuitive Dream,American IPA,LIC Beer Project,Queens,7,4,3.94
People Power,American Pale Ale (APA),Mikkeller NYC,Corona,5.3,4,3.94
Double Cream Get the Honey (Motueka and Mosaic),American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.4,4,3.94
Newburgh HoneyWeizen,German Weizenbock,Newburgh Brewing Company,Newburgh,8,4,3.94
Dog Birthday Party,American Stout,Pressure Drop Brewing,Buffalo,5.5,4,3.94
Strummer,Belgian Pale Ale,Pressure Drop Brewing,Buffalo,6,4,3.94
G5 Golden Ale,Belgian Strong Pale Ale,Transmitter Brewing,Brooklyn,9.5,4,3.94
Gravity Wagon,American Wheatwine Ale,The FarmHouse Brewery,Owego,12,4,3.94
Ryes N Shine,Belgian Saison,Abandon Brewing Co.,Penn Yan,5.5,3,3.94
Buffalo Tripel,Belgian Tripel,12 Gates Brewing Company,Williamsville,9.6,3,3.94
Indian Brown Ale,American Brown Ale,Captain Lawrence Brewing Co.,Elmsford,7,3,3.94
Critzs' Apple Ale,Fruit and Field Beer,Empire Brewing Company - Brewpub,Syracuse,4.5,3,3.94
Raspberry Beret Imperial Fruit Beer,Fruit and Field Beer,Ellicottville Brewing Co.,Fredonia,7,3,3.94
FairCasa Saison,Belgian Saison,Fairport Brewing Company,Fairport,8,3,3.94
Phil's Pils,German Pilsner,Galaxy Brewing Company,Binghamton,5,3,3.94
"Rye Guy ""OG"" Extra Pale Ale",Rye Beer,Greenport Harbor Brewing Company,Greenport,5.3,3,3.94
Parasol,New England IPA,Hudson Valley Brewery,Beacon,8,3,3.94
Catskill Pale Ale,American Pale Ale (APA),Keegan Ales,Kingston,?,3,3.94
Simple Man,American Brown Ale,Oval Craft Brewing,Plattsburgh,?,3,3.94
44/55 DOUBLE IPA,American IPA,Rough Cut Brewing Co.,Kerhonkson,8.5,3,3.94
Sloop Jam Yes!,American Wild Ale,Sloop Brewing,Elizaville,6,3,3.94
Good Stuph,American Imperial Stout,Yonkers Brewing Co.,Yonkers,10.1,2,3.94
Brewtica,American IPA,Woodland Farm Brewery,Utica,6.6,2,3.94
Day Trekker,American IPA,42 North Brewing Company,East Aurora,4.9,2,3.94
Staycation - Guava,Belgian Saison,Beer Tree Brew Co.,Port Crane,5.4,2,3.94
Kickin Knowledge (Passion Fruit),American IPA,Barrier Brewing Company,Oceanside,7,2,3.94
The Flux Caffeinator Stout (French Toast),English Sweet / Milk Stout,Barrage Brewing Company,Farmingdale,7.7,2,3.94
Ruby Porter,American Porter,Chelsea Craft Brewing Company,Bronx,6,2,3.94
CB's Red Rhino,American Amber / Red Lager,CB Craft Brewers,Honeoye Falls,7.5,2,3.94
Banana Split Milkshake,German Hefeweizen,Community Beer Works,Buffalo,4.8,2,3.94
Pretzel Bender,Munich Dunkel Lager,Ellicottville Brewing Co.,Ellicottville,5,2,3.94
Smoked Porter,Smoke Porter,Great South Bay Brewery,Bay Shore,6.5,2,3.94
The Tainted Lady,American Stout,Hudson Brewing Company,Hudson,7.4,2,3.94
Flying Pumpkin,Pumpkin Beer,Roc Brewing Company,Rochester,?,2,3.94
Maltivore,English Strong Ale,Rushing Duck Brewing Company,Chester,6.5,2,3.94
Super Jammer 75,Leipzig Gose,Sixpoint Brewery,Brooklyn,9.1,2,3.94
Patent Applied For,American Wild Ale,SingleCut Beersmiths,Queens,4.2,2,3.94
Porter,American Porter,Seneca Lodge Craft Brewing,Watkins Glen,?,2,3.94
Equinox You Out,American Imperial IPA,The Defiant Brewing Company,Pearl River,8.3,2,3.94
Magnus Pango,American Barleywine,The Defiant Brewing Company,Pearl River,10.3,2,3.94
Jam Don't Shake,American Imperial Stout,Grimm Artisanal Ales,Brooklyn,17,1,3.94
B-Girls,American Pale Ale (APA),Water Street Brewing Co.,Binghamton,4.9,1,3.94
Happy Mishap,American IPA,Yonkers Brewing Co.,Yonkers,4.8,1,3.94
The Killing Moon,Belgian Strong Dark Ale,Yonkers Brewing Co.,Yonkers,9,1,3.94
Kolsch,German Kölsch,Abandon Brewing Co.,Penn Yan,4.2,1,3.94
Friends With Benefactors,Belgian Saison,Bacchus & The Brewery at Bacchus,New Paltz,?,1,3.94
Scotch Ale,Scotch Ale / Wee Heavy,Blue Point Brewing Company,Patchogue,6.9,1,3.94
Oatmeal Cookie,English Oatmeal Stout,Brown's Brewing Company,Troy,8,1,3.94
Stoonad Summer Ale,American Adjunct Lager,Copper City Brewing Co,Rome,5.8,1,3.94
Double Beta 3/6/19,American Imperial IPA,Common Roots Brewing Company,South Glens Falls,8,1,3.94
Newton Street Pale Ale,American Pale Ale (APA),Common Roots Brewing Company,South Glens Falls,5.8,1,3.94
Resilience,American IPA,Common Roots Brewing Company,South Glens Falls,6.8,1,3.94
Armor Inn Session IPA,American IPA,Ellicottville Brewing Co.,Ellicottville,?,1,3.94
Druthers Blonde Ale,German Kölsch,Druthers Brewing Company,Saratoga Springs,5.2,1,3.94
Destination Unknown / Spider Bite - Ryeno,American Barleywine,Destination Unknown Beer Co.,Bay Shore,12,1,3.94
Spot Coffee Stout,American Stout,Flying Bison Brewing Company,Buffalo,8,1,3.94
Evolving Ale,American Pale Ale (APA),Fifth Frame Brewing Co.,Rochester,6.7,1,3.94
Citra And Chill,American Lager,Greenport Harbor Brewing Company,Greenport,6.5,1,3.94
Wakatu Pale,American Pale Ale (APA),Gordon Biersch Brewery Restaurant,Syracuse,5.5,1,3.94
Wakatu Pale,American Pale Ale (APA),Gordon Biersch Brewery & Restaurant,Buffalo,5.5,1,3.94
DDH Galaxy IPA,American IPA,K2 Brothers Brewing,Rochester,6.5,1,3.94
Barrel 9 - Oatmeal Stout,American Stout,Hyde Park Brewing Company,Hyde Park,?,1,3.94
Raspberry Gose,Leipzig Gose,Local 315 Brewing Company,Warners,?,1,3.94
Columbus XPA,American IPA,Lafayette Brewing Co.,Buffalo,6.2,1,3.94
Whatsis #4.1 Citra and Azacca,American IPA,Naked Dove Brewing Company,Canandaigua,7.1,1,3.94
Winter Ale,Winter Warmer,Mill House Brewing Company,Poughkeepsie,?,1,3.94
"Single Batch #34 Double Dry Hopped With Calypso, Falconer's Flight And Mosa",New England IPA,"Middle Ages Brewing Co., Ltd.",Syracuse,7.3,1,3.94
Pumptobefest,German Märzen / Oktoberfest,Lunkenheimer Craft Brewing Co.,Weedsport,5.9,1,3.94
Mr Nut Nut Brown Ale,American Brown Ale,Northway Brewing Co.,Queensbury,5.5,1,3.94
The Majestic Wino Barrel Aged Stout,American Imperial Stout,Three Heads Brewing,Rochester,10.2,1,3.94
Golden Showers,American IPA,The North Brewery,Endicott,6.7,1,3.94
Stranger In The Brewhouse,American Blonde Ale,The North Brewery,Endicott,?,1,3.94
Secret of Steel,American Imperial IPA,Rocky Point Artisan Brewers (RPAB),Rocky Point,9,1,3.94
Bungalow Nights - Habanero Peppers,American Imperial Stout,Rockaway Brewing Company,Queens,10,1,3.94
Belgian Pumpkin Spiced Ale,Pumpkin Beer,Roc Brewing Company,Rochester,6.2,1,3.94
Fruit Loop Sour,American Wild Ale,Riverworks Brewing,Buffalo,7,1,3.94
Yachtie,American Stout,Rare Form Brewing Company,Troy,4.5,1,3.94
Biere de Noel,Belgian Quadrupel (Quad),Saint James Brewery,Holbrook,11,1,3.94
Pare Pair Pear,Fruit and Field Beer,Rushing Duck Brewing Company,Chester,5.1,1,3.94
RDR&D (Mosaic),American IPA,Rushing Duck Brewing Company,Chester,6.9,1,3.94
Kellerbier,German Kellerbier / Zwickelbier,Sloop Brewing,Elizaville,5.5,1,3.94
Second Bite IPA - Nelson Sauvin,American IPA,Spider Bite Beer Company,Holbrook,7.4,1,3.94
Sheps Irish Red,Irish Red Ale,The Good Shepherds Brewing Co.,Auburn,?,1,3.94
Rye’s and Shine,British Barleywine,Twisted Rail Brewing Company,Canandaigua,10.5,1,3.94
The Crisp,German Pilsner,Sixpoint Brewery,Brooklyn,5.4,"1,862",3.93
Molotov Cocktail,American Imperial IPA,Evil Twin Brewing,Brooklyn,12,"1,443",3.93
Sour Bikini,American Wild Ale,Evil Twin Brewing,Brooklyn,3,477,3.93
Seeking Alpha,American Imperial IPA,Captain Lawrence Brewing Co.,Elmsford,11,444,3.93
Nu Skool IPA,American IPA,Southern Tier Brewing Company,Lakewood,6,443,3.93
He'Brew Bittersweet Lenny's R.I.P.A. On Rye,American Imperial IPA,Shmaltz Brewing Company,Clifton Park,10,381,3.93
Evil Twin / Jackie O's - You're In The Jungle Baby!,American Imperial Stout,Evil Twin Brewing,Brooklyn,12,202,3.93
Effortless Grapefruit,American IPA,Captain Lawrence Brewing Co.,Elmsford,4.5,167,3.93
James Beer,Berliner Weisse,Evil Twin Brewing,Brooklyn,3.5,144,3.93
Tools Of The Trade,American Pale Ale (APA),Industrial Arts Brewing Company,Garnerville,4.8,144,3.93
Double Sess(ion),Belgian Witbier,Finback Brewery,Queens,4.8,118,3.93
Naysayer Pale Ale,American Pale Ale (APA),Rushing Duck Brewing Company,Chester,5.2,118,3.93
Short Sleeve Saison,Belgian Saison,Brewery Ommegang,Cooperstown,4.5,92,3.93
Resurgence IPA,American IPA,Resurgence Brewing Company,Buffalo,7,90,3.93
Boogie Board Stuntz,German Kölsch,Other Half Brewing Co.,Brooklyn,4.7,85,3.93
Hop Damn! IPA,American IPA,Barrier Brewing Company,Oceanside,7.5,52,3.93
Velvet Panda Stout,American Stout,Mill House Brewing Company,Poughkeepsie,5.1,47,3.93
Double Sweet Action,American Strong Ale,Sixpoint Brewery,Brooklyn,9,47,3.93
Whoopass,American Imperial IPA,Roc Brewing Company,Rochester,8,42,3.93
G4 Tart Golden Ale,American Wild Ale,Transmitter Brewing,Brooklyn,6.6,40,3.93
Marauder (Born From Wood Series),Scotch Ale / Wee Heavy,Great South Bay Brewery,Bay Shore,10,38,3.93
HUBAR,American IPA,Mill House Brewing Company,Poughkeepsie,6.3,33,3.93
Flagship IPA,American IPA,The Flagship Brewing Company,Staten Island,6.9,31,3.93
Chocolate Milk Baked Stout,American Stout,Sloop Brewing,Elizaville,6,30,3.93
Death to Ego,American IPA,Alewife,Queens,6.1,29,3.93
The Big Payback,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,24,3.93
F0 Brett Farmhouse Ale,Belgian Saison,Transmitter Brewing,Brooklyn,6.4,19,3.93
Linear,American Pale Ale (APA),Finback Brewery,Queens,5,16,3.93
Neon Rainbows,New England IPA,Brewery Ommegang,Cooperstown,6.6,15,3.93
Nor’ Eastah,American IPA,"Chatham Brewing, LLC",Chatham,6.5,15,3.93
Scotch Ale,Scotch Ale / Wee Heavy,Naked Dove Brewing Company,Canandaigua,7.6,15,3.93
Toasted Marshmallow IPA,American IPA,Decadent Ales,Mamaroneck,7,13,3.93
Lime Dizease,American IPA,Barrier Brewing Company,Oceanside,6.8,12,3.93
The Double IPA,New England IPA,Community Beer Works,Buffalo,9.25,12,3.93
MaXXimus Brown,American Brown Ale,Grist Iron Brewing Company,Burdett,7.61,12,3.93
Oatmeal Cookie Brown Ale,English Brown Ale,42 North Brewing Company,East Aurora,5.8,11,3.93
Wavy Lines,German Pilsner,Finback Brewery,Queens,5,11,3.93
Bona Terra,American IPA,LIC Beer Project,Queens,7,11,3.93
Double Skunk Imperial Black India Pale Ale,American Black Ale,Three Heads Brewing,Rochester,8.5,11,3.93
S1 Mahogany,Belgian Saison,Transmitter Brewing,Brooklyn,8,11,3.93
BQX,American Imperial IPA,Big aLICe Brewing,Queens,8,10,3.93
IPA with Cryo Hops [05],American IPA,Barrier Brewing Company,Oceanside,6.9,10,3.93
The Old Toad Nut Brown Ale,English Brown Ale,CB Craft Brewers,Honeoye Falls,4.7,10,3.93
Citra Galaxy Imperial IPA,American Imperial IPA,Matt Brewing Company / Saranac Brewery,Utica,8.8,10,3.93
Kölsch Is My Cologne - Motueka And Mandarina,German Kölsch,Other Half Brewing Co.,Brooklyn,4.8,10,3.93
Black Donald,American Porter,The North Brewery,Endicott,6.2,10,3.93
Fall Black,German Schwarzbier,Big Ditch Brewing Company,Buffalo,4.7,9,3.93
Equilibrium / Interboro - Agent Orange,American Imperial IPA,Equilibrium Brewery,Middletown,8,9,3.93
Weesh’d Scotch Ale,Scotch Ale / Wee Heavy,Greenport Harbor Brewing Company,Greenport,7.9,9,3.93
Melon Bellini,Berliner Weisse,Other Half Brewing Co.,Brooklyn,8,9,3.93
From The Hip,Belgian Strong Pale Ale,Grimm Artisanal Ales,Brooklyn,7,8,3.93
Meadow Maker,New England IPA,Alewife,Queens,7.5,8,3.93
Feeling Lonely in a Crowded Room,American Imperial IPA,Greenpoint Beer & Ale Company,Brooklyn,8,8,3.93
Nauti Girl,American IPA,Great South Bay Brewery,Bay Shore,?,8,3.93
Farmer John Harvest IPA,American IPA,Peekskill Brewery,Peekskill,?,8,3.93
Hop Pants,American IPA,Thin Man Brewery,Buffalo,6.4,8,3.93
Double Dry-Hopped Last Light IPA,American IPA,Common Roots Brewing Company,South Glens Falls,6.8,7,3.93
Super Stario,American Imperial IPA,Peekskill Brewery,Peekskill,8,7,3.93
Lucid Dragon,American IPA,Glenmere Brewing Company,Florida,7.5,6,3.93
Sand Castles,Belgian Saison,Kings County Brewers Collective (KCBC),Brooklyn,5,6,3.93
Squeeze Play,American Imperial IPA,Cooperstown Brewing Company,Milford,8,5,3.93
POGlodyte,Berliner Weisse,Fifth Hammer Brewing,Queens,4.2,5,3.93
Wet Hop Harbor Ale,American Pale Ale (APA),Greenport Harbor Brewing Company,Greenport,5.3,5,3.93
Industrial Sabotage,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,5,3.93
Evil Waves,English Sweet / Milk Stout,LIC Beer Project,Queens,5.5,5,3.93
Handful of Rain,American IPA,LIC Beer Project,Queens,6.5,5,3.93
Spring,Belgian Saison,Plan Bee Farm Brewery,Poughkeepsie,5,5,3.93
Peekskill/Rushing Duck Sitting Duck,American Barleywine,Peekskill Brewery,Peekskill,11,5,3.93
3HB,American Lager,Three Heads Brewing,Rochester,5,5,3.93
Union 56 Pale Ale,American Pale Ale (APA),Roc Brewing Company,Rochester,4.8,5,3.93
IOIPA,American Imperial IPA,Bull & Barrel Brew Pub,Brewster,9.4,4,3.93
American Pale Ale,American Pale Ale (APA),Good Nature Farm Brewery & Tap Room - Downtown,Hamilton,5.5,4,3.93
Intersect: Citra & Calypso,American IPA,Torch & Crown Brewing Company,New York,5.1,4,3.93
Bitter Divorce IPA,American IPA,Twin Elder Brewery,Victor,7.3,4,3.93
Wayne Legitzky Pale Ale,American Pale Ale (APA),Ausable Brewing Co.,Keeseville,5.8,3,3.93
Bound By Chains,American Imperial IPA,Bridge and Tunnel Brewery,Queens,8.2,3,3.93
Black Forest IPA,American IPA,Black Forest Brew Haus,Farmingdale,7.9,3,3.93
Double Oatmeal Stout,English Oatmeal Stout,Brown's Brewing Company,Troy,8.6,3,3.93
McGinn's Scottish Ale,Scottish Ale,Crossroads Brewing Company,Athens,4.5,3,3.93
Old Urbana Imperial Amber Rye,American Imperial Red Ale,Keuka Brewing Company,Hammondsport,9.6,3,3.93
2017 Pandamonium Barrel Aged,Russian Imperial Stout,Mill House Brewing Company,Poughkeepsie,11,3,3.93
Green Thumb Double IPA,American Imperial IPA,Matt Brewing Company / Saranac Brewery,Utica,8,3,3.93
Bad Reputations,American Cream Ale,The North Brewery,Endicott,4.5,3,3.93
Sloop Jam from Downtown,American Wild Ale,Sloop Brewing,Elizaville,6,3,3.93
Citra Pale Ale,American Pale Ale (APA),The Lost Borough Brewing Co.,Rochester,?,3,3.93
So You're Wild,American Stout,The Brewery Of Broken Dreams,Hammondsport,5.3,3,3.93
Blanca,German Kölsch,Brooklyn Brewery,Brooklyn,4.1,2,3.93
Robust Porter,American Porter,Yonkers Brewing Co.,Yonkers,6.6,2,3.93
Never Say Rye,Rye Beer,BrickHouse Brewery,Patchogue,6.75,2,3.93
Victorian Porter,English Porter,C.H. Evans Brewing Company,Albany,7.6,2,3.93
Kubal Mild,English Dark Mild Ale,Eastwood Brewing Co.,Syracuse,5,2,3.93
Lil Bruin,Flanders Oud Bruin,Garvies Point Craft Brewery,Glen Cove,5.3,2,3.93
Irish Dry Stout,Irish Dry Stout,Gordon Biersch Brewery Restaurant,Syracuse,5,2,3.93
Irish Dry Stout,Irish Dry Stout,Gordon Biersch Brewery & Restaurant,Buffalo,5,2,3.93
Lucifer's Steps,American Pale Ale (APA),Ithaca Beer Company,Ithaca,4,2,3.93
Hermes,American IPA,Mortalis Brewing Co.,Avon,4.8,2,3.93
Crickets (Saphir + Saaz),German Pilsner,Other Half Brewing Co.,Brooklyn,5.1,2,3.93
Simple Math,American IPA,Obercreek Brewing Company,Wappingers Falls,6.4,2,3.93
Black Creek Stout,English Stout,R.S. Taylor & Sons Brewing,Salem,6,2,3.93
Winter Ale,Winter Warmer,Patchogue Beer Project,Patchogue,6.8,2,3.93
Mayan Coffee Porter,American Porter,Triphammer Bierwerks,Fairport,5.6,2,3.93
Deerfly IPA,American IPA,Township 7 Brewing Company,Dickinson Center,6.7,2,3.93
Pumpkin Ale,Pumpkin Beer,Resurgence Brewing Company,Buffalo,6.2,2,3.93
Grunge Wolf,New England IPA,Sixpoint Brewery,Brooklyn,8,2,3.93
Hot Mess,Belgian Saison,Southern Tier Brewing Company,Lakewood,9,2,3.93
Citra + Mosaic 15° P,American IPA,Upstate Brewing Company,Elmira,6.1,2,3.93
In Limbo,German Pilsner,Threes Brewing,Brooklyn,5.2,2,3.93
People Power,German Pilsner,Threes Brewing,Brooklyn,5,2,3.93
Belgian Triple,Belgian Tripel,Westtown Brew Works,Westtown,8.5,1,3.93
Wit Tail,Belgian Saison,Westtown Brew Works,Westtown,5,1,3.93
Alpha Bravo,American IPA,WeBe Brewing Company,Geneva,6.3,1,3.93
Peach in the Glasses,Berliner Weisse,Artisanal Brew Works,Saratoga Springs,4.6,1,3.93
Oatmeal Stout,English Oatmeal Stout,Arrowood Farms,Accord,4.8,1,3.93
Wee Heavy,Scotch Ale / Wee Heavy,Amber Lantern Brewing Company,Warsaw,8,1,3.93
The Great Pumpkin,Pumpkin Beer,BrickHouse Brewery,Patchogue,5.5,1,3.93
Jam Juice,American Lager,Captain Lawrence Brewing Co.,Elmsford,4.5,1,3.93
Northern Exposure,American Brown Ale,Captain Lawrence Brewing Co.,Elmsford,5,1,3.93
Triad V.12,American IPA,Brown's Brewing Company,Troy,7.75,1,3.93
Science of Selling Margaritas,Leipzig Gose,Destination Unknown Beer Co.,Bay Shore,3.5,1,3.93
Joy Spark,Belgian Saison,Fifth Hammer Brewing,Queens,7.7,1,3.93
Smoke Break,German Pilsner,Greenpoint Beer & Ale Company,Brooklyn,5.3,1,3.93
Packet Line Pils,German Pilsner,Good Nature Farm Brewery & Tap Room - Downtown,Hamilton,4,1,3.93
Super Lei,American Cream Ale,Kills Boro Brewing Company,Staten Island,9.5,1,3.93
"""Ho-Jack Trail"" Steam Ale",California Common / Steam Beer,Knucklehead Craft Brewing,Webster,6.8,1,3.93
Johns Brook,American IPA,Mean Max Brew Works,Glens Falls,6,1,3.93
Three Bullets Left IPA,American Imperial IPA,Peacemaker Brewing Company,Canandaigua,9.1,1,3.93
BRUTal Swells,American Brut IPA,Small Craft Brewing Company,Amityville,7.1,1,3.93
Mosaic Bomb DDHIPA,American IPA,Sloop Brewing Co. @ the Factory,Hopewell Junction,6.5,1,3.93
Double Plus Good Galaxy,American Imperial IPA,Sloop Brewing,Elizaville,8,1,3.93
Oat Stout,American Stout,Silver Lake Brewing Project,Perry,4.8,1,3.93
Crème Brûlée Imperial Milk Stout (Blackwater Series),English Sweet / Milk Stout,Southern Tier Brewing Company,Lakewood,10,"4,684",3.92
White Gold,American Pale Wheat Ale,Ithaca Beer Company,Ithaca,8,403,3.92
DDH Hi-Res,American Imperial IPA,Sixpoint Brewery,Brooklyn,11.1,138,3.92
Java Power India Pale Ale with Coffee,American IPA,Ithaca Beer Company,Ithaca,7.5,124,3.92
IPA Kolata,American Imperial IPA,Evil Twin Brewing,Brooklyn,8,117,3.92
Obscurite,Belgian Strong Dark Ale,Ithaca Beer Company,Ithaca,10.1,115,3.92
Evil Giant - Rye IPA,American IPA,Barrier Brewing Company,Oceanside,6.4,99,3.92
Manhattan Project,Rye Beer,Brooklyn Brewery,Brooklyn,8.5,88,3.92
I Don't Know How To Put This But This IPA Is Kind Of A Big Deal,American Imperial IPA,Evil Twin Brewing,Brooklyn,10,36,3.92
Blood Orange Saison,Belgian Saison,Resurgence Brewing Company,Buffalo,5.5,34,3.92
IPA,American IPA,Five Boroughs Brewing Co,Brooklyn,6.8,27,3.92
John Dory Oyster Stout,American Stout,Sixpoint Brewery,Brooklyn,5.7,26,3.92
Cycle,Belgian Saison,Barrier Brewing Company,Oceanside,4.9,25,3.92
Jetty Cream Ale,American Cream Ale,Great South Bay Brewery,Bay Shore,5.5,25,3.92
Abominal Snow Beer,Belgian Strong Pale Ale,The Defiant Brewing Company,Pearl River,7.7,25,3.92
Kelso Flemish Red Ale,Flanders Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,Brooklyn,5.5,24,3.92
B2 Brandy Barrel-Aged Imperial Stout,American Imperial Stout,Transmitter Brewing,Brooklyn,9.4,24,3.92
Darkly Chocolate Stout,American Stout,Finback Brewery,Queens,5.8,22,3.92
Mosaic Mood,American Pale Ale (APA),Destination Unknown Beer Co.,Bay Shore,5.2,21,3.92
Gold Coast,American Imperial IPA,Garvies Point Craft Brewery,Glen Cove,8,18,3.92
"The ""Herc"" C-130 Barleywine Style Ale",American Barleywine,Flying Bison Brewing Company,Buffalo,9.5,17,3.92
McLaughlin’s Folly,English Oatmeal Stout,Barrage Brewing Company,Farmingdale,5.7,16,3.92
S7 Brett Saison,Belgian Saison,Transmitter Brewing,Brooklyn,5,16,3.92
Beech Fire,Smoke Beer,Sand City Brewing Co.,Northport,7,16,3.92
Spelunker,Belgian Saison,Barrier Brewing Company,Oceanside,6.5,15,3.92
"Double Mmm... Fruit Dream (Strawberry, Mango, + Vanilla)",Berliner Weisse,Other Half Brewing Co.,Brooklyn,7,14,3.92
Hybrid Vigor,American Imperial IPA,Kings County Brewers Collective (KCBC),Brooklyn,8.5,13,3.92
Mechanical Spring,Belgian Saison,Threes Brewing,Brooklyn,7.2,13,3.92
Hudson Valley Harvest De Nube Cherry,American Wild Ale,Captain Lawrence Brewing Co.,Elmsford,6.5,12,3.92
Wicked Chowdah,American IPA,1940's Brewing Company,Holbrook,7.2,11,3.92
Mary P's Porter,American Porter,Hyde Park Brewing Company,Hyde Park,6.3,11,3.92
Wyck'd Nuggets IPA,American IPA,Two Goats Brewing,Hector,9.1,11,3.92
When Life Hands You...,American Wild Ale,Greenpoint Beer & Ale Company,Brooklyn,5.3,10,3.92
Buffalo Theory,American Imperial IPA,Moustache Brewing Co.,Riverhead,8.5,10,3.92
